productId,name,subType,rarity,printing,marketPrice,lowPrice,highPrice,lastUpdated
592218,"Redox, Dragon Ruler of Boulders (Quarter Century Secret Rare)",1st Edition,,,6.3,4.41,50.0,
592219,"Redox, Dragon Ruler of Boulders (Secret Rare)",1st Edition,,,0.53,0.19,5.0,
592220,"Redox, Dragon Ruler of Boulders",1st Edition,,,0.14,0.01,1.53,
592221,"Redox, Dragon Ruler of Boulders (PUR)",1st Edition,,,1.5,0.75,14.0,
592222,"Redox, Dragon Ruler of Boulders (UR)",1st Edition,,,0.16,0.01,2.26,
592223,"Tidal, Dragon Ruler of Waterfalls (PCR)",1st Edition,,,1.46,1.35,12.79,
592224,"Tidal, Dragon Ruler of Waterfalls (Platinum Secret Rare)",1st Edition,,,1.85,1.48,19.99,
592225,"Tidal, Dragon Ruler of Waterfalls (Quarter Century Secret Rare)",1st Edition,,,5.07,4.0,50.0,
592226,"Tidal, Dragon Ruler of Waterfalls (Secret Rare)",1st Edition,,,0.54,0.17,49.0,
592227,"Tidal, Dragon Ruler of Waterfalls",1st Edition,,,0.18,0.01,2.26,
592228,"Tidal, Dragon Ruler of Waterfalls (PUR)",1st Edition,,,2.51,1.06,14.0,
592229,"Tidal, Dragon Ruler of Waterfalls (UR)",1st Edition,,,0.12,0.01,2.0,
592230,"Blaster, Dragon Ruler of Infernos (PCR)",1st Edition,,,1.44,0.76,14.4,
592231,"Blaster, Dragon Ruler of Infernos (Platinum Secret Rare)",1st Edition,,,2.95,2.5,15.99,
592232,"Blaster, Dragon Ruler of Infernos (Quarter Century Secret Rare)",1st Edition,,,6.85,4.39,80.0,
592233,"Blaster, Dragon Ruler of Infernos (Secret Rare)",1st Edition,,,0.46,0.1,5.0,
592234,"Blaster, Dragon Ruler of Infernos",1st Edition,,,0.12,0.04,2.35,
592235,"Blaster, Dragon Ruler of Infernos (PUR)",1st Edition,,,1.15,0.7,9.0,
592236,"Blaster, Dragon Ruler of Infernos (UR)",1st Edition,,,0.15,0.01,3.0,
592237,"Tempest, Dragon Ruler of Storms (PCR)",1st Edition,,,1.46,1.06,275.0,
592238,"Tempest, Dragon Ruler of Storms (Platinum Secret Rare)",1st Edition,,,2.75,2.53,9.97,
592239,"Tempest, Dragon Ruler of Storms (Quarter Century Secret Rare)",1st Edition,,,10.53,9.19,49.99,
592240,"Tempest, Dragon Ruler of Storms (Secret Rare)",1st Edition,,,0.55,0.19,5.0,
592241,"Tempest, Dragon Ruler of Storms",1st Edition,,,0.13,0.03,2.26,
592242,"Tempest, Dragon Ruler of Storms (PUR)",1st Edition,,,1.39,0.6,14.0,
592243,"Tempest, Dragon Ruler of Storms (UR)",1st Edition,,,0.1,0.01,1.66,
592244,Ritual Beast Tamer Elder (PCR),1st Edition,,,0.2,0.01,13.9,
592245,Ritual Beast Tamer Elder (Platinum Secret Rare),1st Edition,,,0.29,0.1,9.88,
592246,Ritual Beast Tamer Elder (Quarter Century Secret Rare),1st Edition,,,1.35,0.75,35.0,
592247,Ritual Beast Tamer Elder (Secret Rare),1st Edition,,,0.15,0.01,5.0,
592248,Ritual Beast Tamer Elder,1st Edition,,,0.1,0.01,9.08,
592249,Ritual Beast Tamer Elder (PUR),1st Edition,,,0.26,0.1,14.0,
592250,Ritual Beast Tamer Elder (UR),1st Edition,,,0.08,0.01,2.49,
592251,"Neptabyss, the Atlantean Prince (PCR)",1st Edition,,,0.67,0.3,13.9,
592252,"Neptabyss, the Atlantean Prince (Platinum Secret Rare)",1st Edition,,,1.33,0.96,9.99,
592253,"Neptabyss, the Atlantean Prince (Quarter Century Secret Rare)",1st Edition,,,5.62,4.11,29.99,
592254,"Neptabyss, the Atlantean Prince (Secret Rare)",1st Edition,,,0.29,0.08,4.0,
592255,"Neptabyss, the Atlantean Prince",1st Edition,,,0.13,0.01,2.5,
592256,"Neptabyss, the Atlantean Prince (PUR)",1st Edition,,,0.47,0.1,14.0,
592257,"Neptabyss, the Atlantean Prince (UR)",1st Edition,,,0.1,0.01,4.5,
592258,Ghost Reaper & Winter Cherries (Alternate Art) (PCR),1st Edition,,,1.18,0.5,13.92,
592259,Ghost Reaper & Winter Cherries (Alternate Art) (Platinum Secret Rare),1st Edition,,,2.06,1.25,39.99,
592260,Ghost Reaper & Winter Cherries (Quarter Century Secret Rare),1st Edition,,,10.13,8.0,29.69,
592261,Ghost Reaper & Winter Cherries (Alternate Art) (Secret Rare),1st Edition,,,0.56,0.14,5.0,
592262,Ghost Reaper & Winter Cherries (Alternate Art),1st Edition,,,0.14,0.02,2.0,
592263,Ghost Reaper & Winter Cherries (Alternate Art) (PUR),1st Edition,,,0.71,0.27,14.0,
592264,Ghost Reaper & Winter Cherries (Alternate Art) (UR),1st Edition,,,0.14,0.01,1.66,
592265,Punishment Dragon (PCR),1st Edition,,,0.32,0.11,9.95,
592266,Punishment Dragon (Platinum Secret Rare),1st Edition,,,0.77,0.38,9.88,
592267,Punishment Dragon (Quarter Century Secret Rare),1st Edition,,,1.59,1.39,19.99,
592268,Punishment Dragon (Secret Rare),1st Edition,,,0.21,0.08,5.0,
592269,Punishment Dragon,1st Edition,,,0.13,0.01,3.95,
592270,Punishment Dragon (PUR),1st Edition,,,0.34,0.03,14.0,
592271,Punishment Dragon (UR),1st Edition,,,0.13,0.01,2.0,
592272,Secret Six Samurai - Hatsume (PCR),1st Edition,,,0.35,0.07,13.9,
592273,Secret Six Samurai - Hatsume (Platinum Secret Rare),1st Edition,,,0.5,0.2,9.95,
592274,Secret Six Samurai - Hatsume (Quarter Century Secret Rare),1st Edition,,,1.84,1.49,14.95,
592275,Secret Six Samurai - Hatsume (Secret Rare),1st Edition,,,0.26,0.03,4.0,
592276,Secret Six Samurai - Hatsume,1st Edition,,,0.13,0.02,1.49,
592277,Secret Six Samurai - Hatsume (PUR),1st Edition,,,0.34,0.06,14.0,
592278,Secret Six Samurai - Hatsume (UR),1st Edition,,,0.14,0.01,2.26,
592279,Secret Six Samurai - Kizaru (PCR),1st Edition,,,0.4,0.15,13.5,
592280,Secret Six Samurai - Kizaru (Platinum Secret Rare),1st Edition,,,0.76,0.39,9.99,
592281,Secret Six Samurai - Kizaru (Quarter Century Secret Rare),1st Edition,,,2.03,1.81,18.2,
592282,Secret Six Samurai - Kizaru (Secret Rare),1st Edition,,,0.27,0.04,4.0,
592283,Secret Six Samurai - Kizaru,1st Edition,,,0.13,0.05,2.0,
592284,Secret Six Samurai - Kizaru (PUR),1st Edition,,,0.29,0.05,14.0,
592285,Secret Six Samurai - Kizaru (UR),1st Edition,,,0.15,0.01,3.0,
592286,Thunder Dragondark (PCR),1st Edition,,,0.4,0.17,13.9,
592287,Thunder Dragondark (Platinum Secret Rare),1st Edition,,,0.81,0.29,9.88,
592288,Thunder Dragondark (Quarter Century Secret Rare),1st Edition,,,5.74,4.97,50.0,
592289,Thunder Dragondark (Secret Rare),1st Edition,,,0.3,0.01,5.0,
592290,Thunder Dragondark,1st Edition,,,0.15,0.03,1.49,
592291,Thunder Dragondark (PUR),1st Edition,,,0.31,0.01,14.0,
592292,Thunder Dragondark (UR),1st Edition,,,0.18,0.01,2.26,
592293,Danger! Bigfoot! (PCR),1st Edition,,,0.35,0.1,13.9,
592294,Danger! Bigfoot! (Alternate Art) (PCR),1st Edition,,,0.33,0.15,13.92,
592295,Danger! Bigfoot! (Platinum Secret Rare),1st Edition,,,0.51,0.25,9.88,
592296,Danger! Bigfoot! (Alternate Art) (Platinum Secret Rare),1st Edition,,,0.59,0.25,9.88,
592297,Danger! Bigfoot! (Quarter Century Secret Rare),1st Edition,,,2.18,1.7,50.0,
592298,Danger! Bigfoot! (Alternate Art) (Quarter Century Secret Rare),1st Edition,,,1.88,1.24,14.9,
592299,Danger! Bigfoot! (Secret Rare),1st Edition,,,0.19,0.03,4.0,
592300,Danger! Bigfoot! (Alternate Art) (Secret Rare),1st Edition,,,0.22,0.09,4.0,
592301,Danger! Bigfoot!,1st Edition,,,0.12,0.01,1.53,
592302,Danger! Bigfoot! (Alternate Art),1st Edition,,,0.13,0.01,1.61,
592303,Danger! Bigfoot! (PUR),1st Edition,,,0.22,0.08,14.0,
